feature,file_name,branch,attack_family,attack_subtype,dtype,missing_count_sample,missing_ratio_sample,unique_values_sample
Fwd IAT Mean,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,5030
Fwd IAT Std,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,4009
Fwd IAT Max,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,4748
Fwd IAT Min,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,3500
Bwd IAT Total,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,3546
Bwd IAT Mean,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,3545
Bwd IAT Std,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,3517
Bwd IAT Max,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,3381
Bwd IAT Min,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,2161
Fwd PSH Flags,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,2
Bwd PSH Flags,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,1
Fwd URG Flags,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,1
Bwd URG Flags,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,1
Fwd Header Length,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,145
Bwd Header Length,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,138
Fwd Packets/s,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,9872
Bwd Packets/s,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,9030
Packet Length Min,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,107
Packet Length Max,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,281
Packet Length Mean,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,993
Packet Length Std,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,818
Packet Length Variance,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,850
FIN Flag Count,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,4
SYN Flag Count,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,27
RST Flag Count,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,3
PSH Flag Count,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,40
ACK Flag Count,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,63
URG Flag Count,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,1
CWR Flag Count,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,2
ECE Flag Count,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,2
Down/Up Ratio,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,9
Average Packet Size,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,982
Fwd Segment Size Avg,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,495
Bwd Segment Size Avg,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,417
Fwd Bytes/Bulk Avg,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,1
Fwd Packet/Bulk Avg,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,1
Fwd Bulk Rate Avg,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,1
Bwd Bytes/Bulk Avg,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,280
Bwd Packet/Bulk Avg,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,32
Bwd Bulk Rate Avg,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,870
Subflow Fwd Packets,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,100
Subflow Fwd Bytes,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,374
Subflow Bwd Packets,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,23
Subflow Bwd Bytes,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,328
FWD Init Win Bytes,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,162
Bwd Init Win Bytes,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,144
Fwd Act Data Pkts,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,45
Fwd Seg Size Min,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,int64,0,0.0,8
Active Mean,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,1390
Active Std,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,672
Active Max,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,1382
Active Min,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,1382
Idle Mean,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,1560
Idle Std,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,954
Idle Max,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,1545
Idle Min,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,float64,0,0.0,1551
Label,DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,object,0,0.0,1
Flow ID,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,object,0,0.0,12076
Src IP,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,object,0,0.0,233
Src Port,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,7478
Dst IP,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,object,0,0.0,382
Dst Port,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,2709
Protocol,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,3
Timestamp,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,object,0,0.0,1894
Flow Duration,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,13718
Total Fwd Packet,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,225
Total Bwd packets,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,143
Total Length of Fwd Packet,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,781
Total Length of Bwd Packet,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,657
Fwd Packet Length Max,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,318
Fwd Packet Length Min,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,198
Fwd Packet Length Mean,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,750
Fwd Packet Length Std,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,676
Bwd Packet Length Max,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,293
Bwd Packet Length Min,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,183
Bwd Packet Length Mean,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,676
Bwd Packet Length Std,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,562
Flow Bytes/s,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,2,0.00014049877063575695,11674
Flow Packets/s,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,13758
Flow IAT Mean,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,13776
Flow IAT Std,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,8156
Flow IAT Max,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,13076
Flow IAT Min,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,9520
Fwd IAT Total,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,7638
Fwd IAT Mean,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,7705
Fwd IAT Std,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,6354
Fwd IAT Max,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,7054
Fwd IAT Min,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,4921
Bwd IAT Total,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,5815
Bwd IAT Mean,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,5816
Bwd IAT Std,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,5393
Bwd IAT Max,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,5598
Bwd IAT Min,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,3592
Fwd PSH Flags,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,2
Bwd PSH Flags,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,1
Fwd URG Flags,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,1
Bwd URG Flags,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,1
Fwd Header Length,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,184
Bwd Header Length,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,184
Fwd Packets/s,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,13751
Bwd Packets/s,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,12342
Packet Length Min,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,131
Packet Length Max,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,360
Packet Length Mean,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,1384
Packet Length Std,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,1247
Packet Length Variance,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,1288
FIN Flag Count,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,4
SYN Flag Count,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,29
RST Flag Count,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,3
PSH Flag Count,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,38
ACK Flag Count,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,70
URG Flag Count,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,1
CWR Flag Count,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,3
ECE Flag Count,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,4
Down/Up Ratio,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,22
Average Packet Size,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,1424
Fwd Segment Size Avg,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,721
Bwd Segment Size Avg,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,657
Fwd Bytes/Bulk Avg,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,1
Fwd Packet/Bulk Avg,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,1
Fwd Bulk Rate Avg,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,1
Bwd Bytes/Bulk Avg,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,453
Bwd Packet/Bulk Avg,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,56
Bwd Bulk Rate Avg,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,1356
Subflow Fwd Packets,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,149
Subflow Fwd Bytes,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,488
Subflow Bwd Packets,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,44
Subflow Bwd Bytes,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,453
FWD Init Win Bytes,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,237
Bwd Init Win Bytes,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,231
Fwd Act Data Pkts,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,73
Fwd Seg Size Min,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,int64,0,0.0,8
Active Mean,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,1819
Active Std,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,802
Active Max,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,1815
Active Min,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,1813
Idle Mean,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,2116
Idle Std,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,1174
Idle Max,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,2110
Idle Min,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,float64,0,0.0,2104
Label,DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,object,0,0.0,1
Flow ID,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,object,0,0.0,9386
Src IP,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,object,0,0.0,191
Src Port,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,int64,0,0.0,6732
Dst IP,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,object,0,0.0,389
Dst Port,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,int64,0,0.0,1378
Protocol,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,int64,0,0.0,3
Timestamp,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,object,0,0.0,1525
Flow Duration,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,int64,0,0.0,11174
Total Fwd Packet,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,int64,0,0.0,192
Total Bwd packets,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,int64,0,0.0,106
Total Length of Fwd Packet,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,689
Total Length of Bwd Packet,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,659
Fwd Packet Length Max,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,307
Fwd Packet Length Min,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,166
Fwd Packet Length Mean,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,693
Fwd Packet Length Std,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,617
Bwd Packet Length Max,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,292
Bwd Packet Length Min,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,182
Bwd Packet Length Mean,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,667
Bwd Packet Length Std,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,557
Flow Bytes/s,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,4,0.0003181673560292714,8712
Flow Packets/s,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,11198
Flow IAT Mean,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,11234
Flow IAT Std,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,7679
Flow IAT Max,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,11070
Flow IAT Min,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,6265
Fwd IAT Total,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,5583
Fwd IAT Mean,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,5593
Fwd IAT Std,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,4275
Fwd IAT Max,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,5505
Fwd IAT Min,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,4018
Bwd IAT Total,DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,float64,0,0.0,4216
